10 10
0.398999 0.557145 0.110966 0.0221926 0.961384 0.573947 0.0652864 0.737201 0.60423 0.543662
0.185467 0.122171 0.435687 0.989721 0.21916 0.209813 0.883551 0.828026 0.95245 0.358788
0.334682 0.794535 0.0543062 0.598194 0.0273656 0.628688 0.0314297 0.300489 0.0922193 0.864776
0.628295 0.0362793 0.209903 0.784955 0.0424017 0.577941 0.789425 0.0798634 0.918508 0.753694
0.67469 0.0432056 0.240077 0.70213 0.55473 0.082668 0.781266 0.900322 0.679946 0.947982
0.508091 0.0931892 0.346932 0.0787122 0.215207 0.402597 0.626437 0.926529 0.491055 0.877086
0.6174 0.734681 0.104238 0.879275 0.57049 0.0683251 0.726913 0.836191 0.608971 0.899706
0.122959 0.544389 0.356326 0.28142 0.480361 0.015431 0.71153 0.899408 0.0794107 0.0584969
0.721926 0.25596 0.559838 0.592235 0.932542 0.130161 0.750721 0.221915 0.681627 0.811229
0.411605 0.64679 0.638594 0.987087 0.725177 0.94797 0.558919 0.457908 0.768487 0.22959
